Rank,Release Group,Worldwide,Domestic,%,Foreign,%
328,In Between,"$1,679,952","$107,977",6.4%,"$1,571,975",93.6%
329,Equity,"$1,672,306","$1,605,463",96%,"$66,843",4%
330,The Comedian,"$1,659,002","$1,659,002",100%,-,-
331,Rustom,"$1,658,594","$1,087,419",65.6%,"$571,175",34.4%
332,Dough,"$1,647,429","$1,148,304",69.7%,"$499,125",30.3%
333,Mohenjo Daro,"$1,630,231","$1,264,339",77.6%,"$365,892",22.4%
334,"New York, New York","$1,545,352","$92,377",6%,"$1,452,975",94%
335,The Wedding Plan,"$1,542,345","$1,412,404",91.6%,"$129,941",8.4%
336,Certain Women,"$1,526,698","$1,087,585",71.2%,"$439,113",28.8%
337,The Daughter,"$1,505,434","$26,376",1.8%,"$1,479,058",98.2%
338,Priceless,"$1,499,605","$1,499,605",100%,-,-
339,Moka,"$1,493,067","$129,547",8.7%,"$1,363,520",91.3%
340,Oasis: Supersonic,"$1,478,119","$242,867",16.4%,"$1,235,252",83.6%
341,Lazer Team,"$1,406,538","$1,186,426",84.4%,"$220,112",15.6%
342,Born to Be Blue 2016 Re-release,"$1,401,411","$678,203",48.4%,"$723,208",51.6%
343,Papa,"$1,356,033","$26,677",2%,"$1,329,356",98%
344,The Teacher,"$1,350,426","$64,437",4.8%,"$1,285,989",95.2%
345,Kapow,"$1,331,922","$812,737",61%,"$519,185",39%
346,Baar Baar Dekho,"$1,329,777","$981,947",73.8%,"$347,830",26.2%
347,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,"$1,259,588","$1,176,781",93.4%,"$82,807",6.6%
348,Alone in Berlin,"$1,205,598","$33,125",2.7%,"$1,172,473",97.3%
349,Remember 2016 Re-release,"$1,181,023","$637,555",54%,"$543,468",46%
350,Fire at Sea,"$1,178,377","$120,933",10.3%,"$1,057,444",89.7%
351,Her & Him,"$1,166,781","$857,986",73.5%,"$308,795",26.5%
352,Vaxxed: From Cover-Up to Catastrophe,"$1,163,265","$1,163,265",100%,-,-
353,Embrace: The Documentary,"$1,155,263","$629,126",54.5%,"$526,137",45.5%
354,The Hollars,"$1,138,609","$1,016,985",89.3%,"$121,624",10.7%
355,Cell,"$1,133,031",-,-,"$1,133,031",100%
356,Dancer,"$1,131,649","$71,917",6.4%,"$1,059,732",93.6%
357,Papa Hemingway in Cuba,"$1,117,399","$1,115,615",99.8%,"$1,784",0.2%
358,The Insanity of God,"$1,102,525","$1,102,525",100%,-,-
359,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur 2016 Re-release,"$1,100,947","$700,723",63.6%,"$400,224",36.4%
360,The First Monday in May,"$1,072,943","$527,474",49.2%,"$545,469",50.8%
361,Au nom de ma fille,"$1,066,493","$1,623",0.2%,"$1,064,870",99.8%
362,Befikre,"$1,040,421","$498,000",47.9%,"$542,421",52.1%
363,"Polina, danser sa vie","$996,425","$165,203",16.6%,"$831,222",83.4%
364,Gimme Danger,"$950,040","$440,627",46.4%,"$509,413",53.6%
365,Dark Horse 2016 Re-release,"$944,061","$940,715",99.6%,"$3,346",0.4%
366,Kaili Blues,"$935,236","$32,164",3.4%,"$903,072",96.6%
367,Gentleman,"$923,884","$897,876",97.2%,"$26,008",2.8%
368,A Woman's Life,"$895,944","$37,626",4.2%,"$858,318",95.8%
369,Believe,"$890,303","$890,303",100%,-,-
370,The Sea of Trees,"$850,985","$20,444",2.4%,"$830,541",97.6%
371,31,"$850,419","$779,820",91.7%,"$70,599",8.3%
372,Premam,"$834,525","$828,278",99.3%,"$6,247",0.7%
373,Tickled,"$790,519","$613,956",77.7%,"$176,563",22.3%
374,Lo and Behold: Reveries of the Connected World,"$765,796","$594,912",77.7%,"$170,884",22.3%
375,The Polar Express 2016 IMAX Release,"$765,154","$765,154",100%,-,-
376,Saturday's Warrior,"$744,046","$744,046",100%,-,-
377,Wiener-Dog,"$734,729","$477,453",65%,"$257,276",35%
378,Mr. Church,"$685,780","$685,780",100%,-,-
379,3 Generations,"$680,351","$155,936",22.9%,"$524,415",77.1%
380,Baaghi,"$676,602","$438,207",64.8%,"$238,395",35.2%
381,Mr. Gaga: A True Story of Love and Dance,"$665,617","$173,994",26.1%,"$491,623",73.9%
382,City of Gold,"$660,445","$640,979",97.1%,"$19,466",2.9%
383,The Family Fang,"$649,555","$262,921",40.5%,"$386,634",59.5%
384,Range 15,"$621,738","$621,738",100%,-,-
385,The Bronze,"$615,816","$615,816",100%,-,-
386,Mr. Right,"$607,595","$34,694",5.7%,"$572,901",94.3%
387,The Fencer 2016 Re-release,"$599,537","$95,952",16%,"$503,585",84%
388,Gleason,"$583,664","$583,664",100%,-,-
389,Harry & Snowman,"$578,820","$561,460",97%,"$17,360",3%
390,The Happiest Day in the Life of Olli Maki,"$562,537",-,-,"$562,537",100%
391,Endless Poetry,"$554,706","$153,440",27.7%,"$401,266",72.3%
392,Viral,"$551,760",-,-,"$551,760",100%
393,We Are X,"$548,126","$45,270",8.3%,"$502,856",91.7%
394,Planetarium,"$546,584","$3,262",0.6%,"$543,322",99.4%
395,Kahaani 2,"$532,877","$350,703",65.8%,"$182,174",34.2%
396,Willy Wonka & the Chocolate Factory 2016 Re-release,"$526,954","$526,633",99.9%,$321,<0.1%
397,Only Yesterday 2016 Re-release,"$525,958","$453,243",86.2%,"$72,715",13.8%
398,Unsullied,"$510,957","$510,957",100%,-,-
399,Our Little Sister 2016 Re-release,"$483,559","$467,555",96.7%,"$16,004",3.3%
400,Staying Vertical,"$456,271","$12,158",2.7%,"$444,113",97.3%
401,Blackway,"$426,491","$27,079",6.3%,"$399,412",93.7%
402,Happy Bhaag Jayegi 2016 Re-release,"$426,345","$351,840",82.5%,"$74,505",17.5%
403,Viva,"$423,976","$178,008",42%,"$245,968",58%
404,Mad Max: Fury Road 2016 Re-release,"$421,986","$421,986",100%,-,-
405,The Bounce Back,"$421,404","$321,910",76.4%,"$99,494",23.6%
406,Voiceless,"$419,952","$419,952",100%,-,-
407,Sand Storm,"$414,698","$86,800",20.9%,"$327,898",79.1%
408,Three,"$391,957","$331,507",84.6%,"$60,450",15.4%
409,Chronic,"$374,704","$9,033",2.4%,"$365,671",97.6%
410,Eat That Question,"$365,540","$355,074",97.1%,"$10,466",2.9%
411,Souvenir,"$359,798","$11,411",3.2%,"$348,387",96.8%
412,The Invitation,"$354,835","$231,737",65.3%,"$123,098",34.7%
413,Kaashmora,"$354,631","$327,959",92.5%,"$26,672",7.5%
414,Satanic,"$349,183",$252,<0.1%,"$348,931",99.9%
415,The Idol,"$343,059",-,-,"$343,059",100%
416,"Life, Animated","$342,664","$255,388",74.5%,"$87,276",25.5%
417,Voyage of Time: The IMAX Experience,"$337,038","$55,409",16.4%,"$281,629",83.6%
418,Nocturama,"$321,768","$30,157",9.4%,"$291,611",90.6%
419,The Student,"$318,123","$1,126",0.4%,"$316,997",99.6%
420,AmeriGeddon,"$316,554","$316,554",100%,-,-
421,Christine,"$313,465","$298,525",95.2%,"$14,940",4.8%
422,Under the Sun,"$305,993","$105,036",34.3%,"$200,957",65.7%
423,Kaptaan,"$296,715","$203,790",68.7%,"$92,925",31.3%
424,The Tenth Man,"$295,129","$63,564",21.5%,"$231,565",78.5%
425,Jimmy Vestvood: Amerikan Hero,"$290,080","$230,069",79.3%,"$60,011",20.7%
426,Tumbledown,"$282,083","$135,026",47.9%,"$147,057",52.1%
427,Ho Mann Jahaan,"$281,926","$208,611",74%,"$73,315",26%
428,Havenhurst,"$279,372",-,-,"$279,372",100%
429,Exposed,"$269,915",-,-,"$269,915",100%
430,The Carer,"$267,995","$6,208",2.3%,"$261,787",97.7%
431,Minimalism: A Documentary About the Important Things,"$261,865","$261,865",100%,-,-
432,The Unspoken,"$258,760",-,-,"$258,760",100%
433,Wild Oats,"$247,949","$40,598",16.4%,"$207,351",83.6%
434,The Love Witch,"$246,218","$228,894",93%,"$17,324",7%
435,Term Life,"$243,793","$21,256",8.7%,"$222,537",91.3%
436,Tampopo,"$224,097","$224,097",100%,-,-
437,Spirit of the Game,"$222,565","$222,565",100%,-,-
438,Great Performances at the Met: Puccini: Turandot,"$219,619","$172,627",78.6%,"$46,992",21.4%
439,Complete Unknown,"$217,473","$191,761",88.2%,"$25,712",11.8%
440,Fatima,"$212,228","$50,105",23.6%,"$162,123",76.4%
441,Donnie Darko 2016 Re-release,"$212,034","$207,971",98.1%,"$4,063",1.9%
442,The Death of Louis XIV,"$209,715","$43,635",20.8%,"$166,080",79.2%
443,SEED: The Untold Story,"$209,580","$207,825",99.2%,"$1,755",0.8%
444,Don't Call Me Son,"$204,583","$11,678",5.7%,"$192,905",94.3%
445,"Hieronymus Bosch, Touched by the Devil","$201,907","$172,533",85.5%,"$29,374",14.5%
446,White Girl,"$200,242","$200,242",100%,-,-
447,The Fallen Idol 2016 Re-release,"$199,619","$199,619",100%,-,-
448,Digimon Adventure tri. Part 1: Reunion,"$190,581","$190,581",100%,-,-
449,The Masked Saint,"$182,695","$182,695",100%,-,-
450,Vigilante Diaries,"$176,777","$1,991",1.1%,"$174,786",98.9%
451,Neon Bull,"$173,219","$26,734",15.4%,"$146,485",84.6%
452,Apparition Hill,"$170,457","$170,457",100%,-,-
453,The Fits,"$169,236","$166,425",98.3%,"$2,811",1.7%
454,De Palma,"$168,045","$165,237",98.3%,"$2,808",1.7%
455,Tharlo,"$161,229","$17,091",10.6%,"$144,138",89.4%
456,Beauty and the Beast 2016 Re-release,"$160,215","$160,215",100%,-,-
457,The Model,"$159,743",-,-,"$159,743",100%
458,The Witness,"$159,305","$159,305",100%,-,-
459,Until Forever,"$158,872","$35,839",22.6%,"$123,033",77.4%
460,Eva Hesse,"$157,481","$157,481",100%,-,-
461,Suntan,"$157,267","$6,643",4.2%,"$150,624",95.8%
462,The Call Up,"$152,294",-,-,"$152,294",100%
463,One Week and a Day,"$152,178","$41,614",27.3%,"$110,564",72.7%
464,Born to Be Blue,"$151,926","$151,926",100%,-,-
465,Generation Found,"$151,751","$151,751",100%,-,-
466,Kicks,"$150,191","$150,191",100%,-,-
467,Michael Moore in TrumpLand,"$149,090","$149,090",100%,-,-
468,From Afar,"$148,630","$30,169",20.3%,"$118,461",79.7%
469,Touched with Fire,"$146,487","$146,487",100%,-,-
470,Krisha,"$144,822","$144,822",100%,-,-
471,Clash,"$143,121","$18,215",12.7%,"$124,906",87.3%
472,Rock on 2,"$139,173","$98,868",71%,"$40,305",29%
473,Psycho-Pass: The Movie,"$138,366","$138,366",100%,-,-
474,The Kind Words,"$135,382","$135,382",100%,-,-
475,Ism,"$134,165","$134,165",100%,-,-
476,Under the Shadow,"$133,324","$31,900",23.9%,"$101,424",76.1%
477,Dawson City: Frozen Time,"$132,369","$132,369",100%,-,-
478,Requiem for the American Dream,"$130,152","$130,152",100%,-,-
479,Chimes at Midnight,"$126,724","$126,724",100%,-,-
480,The Ones Below,"$121,827","$12,488",10.3%,"$109,339",89.7%
481,The Girl Without Hands,"$121,020","$21,787",18%,"$99,233",82%
482,Miss Sharon Jones!,"$120,880","$120,880",100%,-,-
483,Hockney 2016 Re-release,"$120,745","$120,745",100%,-,-
484,Remember the Goal,"$119,100","$119,100",100%,-,-
485,Until Forever 2016 Re-release,"$118,795","$105,358",88.7%,"$13,437",11.3%
486,Victor,"$117,755","$117,755",100%,-,-
487,Caged No More,"$114,959","$114,959",100%,-,-
488,Elevator to the Gallows 2016 Re-release,"$111,267","$111,267",100%,-,-
489,Zero Days,"$109,649","$109,649",100%,-,-
490,Cameraperson,"$109,464","$102,033",93.2%,"$7,431",6.8%
491,Jeruzalem,"$107,024","$11,287",10.5%,"$95,737",89.5%
492,Best Worst Thing That Ever Could Have Happened...,"$106,986","$106,986",100%,-,-
493,Vita Activa: The Spirit of Hannah Arendt,"$106,768","$82,143",76.9%,"$24,625",23.1%
494,Dekalog 2016 Re-release,"$106,494","$106,494",100%,-,-
495,Dictator,"$104,734","$104,734",100%,-,-
496,Demon,"$104,038","$104,038",100%,-,-
497,Puerto Ricans in Paris,"$102,890","$102,890",100%,-,-
498,Tanna,"$102,225","$46,654",45.6%,"$55,571",54.4%
499,Tower,"$101,987","$101,987",100%,-,-
500,Magnus,"$101,739","$8,944",8.8%,"$92,795",91.2%
501,The Lovers & the Despot,"$95,521","$55,511",58.1%,"$40,010",41.9%
502,Saala Khadoos,"$94,787","$76,931",81.2%,"$17,856",18.8%
503,The Fight Within,"$94,326","$94,326",100%,-,-
504,Into the Forest,"$92,166","$9,995",10.8%,"$82,171",89.2%
505,Other People,"$91,441","$91,441",100%,-,-
506,Morris from America,"$91,151","$91,151",100%,-,-
507,A Kind of Murder,"$91,149","$2,915",3.2%,"$88,234",96.8%
508,Moonwalkers,"$90,646",-,-,"$90,646",100%
509,The Good Neighbor,"$90,573",-,-,"$90,573",100%
510,Fireworks Wednesday 2016 Re-release,"$90,519","$90,519",100%,-,-
511,Ocean Waves,"$87,738","$87,738",100%,-,-
512,Author: The JT LeRoy Story,"$87,686","$85,999",98.1%,"$1,687",1.9%
513,"My Love, Don't Cross That River 2016 Re-release","$86,446","$86,446",100%,-,-
514,Ran 2016 Re-release,"$84,789","$66,097",78%,"$18,692",22%
515,Los Sures,"$83,992","$83,992",100%,-,-
516,The Treasure,"$82,392","$50,203",60.9%,"$32,189",39.1%
517,King Cobra,"$81,757","$81,757",100%,-,-
518,For the Love of Spock,"$80,141","$80,141",100%,-,-
519,Colliding Dreams,"$78,288","$78,288",100%,-,-
520,Anesthesia,"$78,270","$32,163",41.1%,"$46,107",58.9%
521,Don't Blink,"$76,134","$76,134",100%,-,-
522,The Ornithologist,"$74,714","$50,511",67.6%,"$24,203",32.4%
523,The Monster,"$74,700","$12,544",16.8%,"$62,156",83.2%
524,Reset,"$74,341","$5,454",7.3%,"$68,887",92.7%
525,Do Not Resist,"$72,791","$72,791",100%,-,-
526,Raiders!: The Story of the Greatest Fan Film Ever Made,"$71,916","$71,916",100%,-,-
527,The Congressman,"$71,451","$71,451",100%,-,-
528,My Journey Through French Cinema,"$71,174","$52,214",73.4%,"$18,960",26.6%
529,Norman Lear: Just Another Version of You,"$70,950","$70,950",100%,-,-
530,Rocky Handsome,"$69,289",-,-,"$69,289",100%
531,Mastizaade,"$68,583","$43,403",63.3%,"$25,180",36.7%
532,Wildflower,"$68,577","$18,062",26.3%,"$50,515",73.7%
533,Sanam Teri Kasam,"$67,736","$22,121",32.7%,"$45,615",67.3%
534,The Greasy Strangler,"$67,427","$45,878",68%,"$21,549",32%
535,Max Rose,"$66,680","$66,680",100%,-,-
536,King Georges,"$66,175","$66,175",100%,-,-
537,Girl Asleep,"$64,056","$60,289",94.1%,"$3,767",5.9%
538,Trapped,"$63,241","$63,241",100%,-,-
539,Creative Control,"$63,014","$63,014",100%,-,-
540,Mifune: The Last Samurai,"$62,279","$62,279",100%,-,-
541,In a Valley of Violence,"$61,797","$61,797",100%,-,-
542,The Seasons In Quincy: Four Portraits of John Berger,"$61,267","$28,456",46.4%,"$32,811",53.6%
543,Apprentice,"$60,752","$2,578",4.2%,"$58,174",95.8%
544,Too Late,"$60,438","$60,438",100%,-,-
545,Presenting Princess Shaw,"$60,197","$60,197",100%,-,-
546,Command and Control,"$57,635","$57,635",100%,-,-
547,Sold,"$57,527","$57,527",100%,-,-
548,The Battle of Algiers 2016 Re-release,"$56,853","$56,853",100%,-,-
549,Wedding Doll,"$56,196","$56,196",100%,-,-
550,Évolution,"$55,985","$24,770",44.2%,"$31,215",55.8%
551,Holidays,"$55,621",-,-,"$55,621",100%
552,The Last Man on the Moon,"$53,881","$52,482",97.4%,"$1,399",2.6%
553,Down by Love,"$53,780",$675,1.3%,"$53,105",98.7%
554,The Unknowns,"$51,035","$51,035",100%,-,-
555,As I Open My Eyes,"$50,721","$30,989",61.1%,"$19,732",38.9%
556,In Order of Disappearance 2016 Re-release,"$50,251","$50,251",100%,-,-
557,Daughters of the Dust 2016 Re-release,"$47,287","$40,986",86.7%,"$6,301",13.3%
558,3 Weeks in Yerevan,"$45,536","$45,536",100%,-,-
559,Nuts!,"$44,230","$44,230",100%,-,-
560,Danny Says,"$44,213","$44,213",100%,-,-
561,The Land,"$43,756","$43,756",100%,-,-
562,The Empire of Corpses,"$43,320",-,-,"$43,320",100%
563,Closet Monster,"$42,360","$42,166",99.5%,$194,0.5%
564,In Pursuit of Silence,"$41,913","$29,834",71.2%,"$12,079",28.8%
565,Of Mind and Music,"$40,322","$15,073",37.4%,"$25,249",62.6%
566,Is That a Gun in Your Pocket?,"$39,928","$39,928",100%,-,-
567,The Homeless Billionaire,"$39,493","$39,493",100%,-,-
568,La Notte,"$39,236","$39,236",100%,-,-
569,The Son of Joseph,"$38,774","$30,588",78.9%,"$8,186",21.1%
570,Restored Me,"$38,745","$38,745",100%,-,-
571,Catching the Sun,"$38,613","$38,613",100%,-,-
572,Spa Night,"$38,578","$38,578",100%,-,-
573,Troublemakers: The Story of Land Art,"$38,571","$29,462",76.4%,"$9,109",23.6%
574,Multiple Maniacs,"$38,403","$33,036",86%,"$5,367",14%
575,Germans & Jews,"$38,100","$38,100",100%,-,-
576,Moscow Never Sleeps,"$38,004","$25,306",66.6%,"$12,698",33.4%
577,Band of Outsiders 2016 Re-release,"$38,004","$38,004",100%,-,-
578,News from Planet Mars,"$37,507",$310,0.8%,"$37,197",99.2%
579,Trust Fund,"$36,885","$36,885",100%,-,-
580,Yoga Hosers,"$36,585",-,-,"$36,585",100%
581,How to Let Go of the World: and Love All the Things Climate Can't Change,"$36,386","$36,386",100%,-,-
582,"Kill Me, Deadly","$36,027","$36,027",100%,-,-
583,Off the Rails,"$34,249","$34,249",100%,-,-
584,Being Charlie,"$32,964","$30,400",92.2%,"$2,564",7.8%
585,The Intervention,"$32,919","$32,919",100%,-,-
586,No Home Movie,"$32,757","$32,757",100%,-,-
587,Rurouni Kenshin Part I: Origins 2016 Re-release,"$32,445","$32,445",100%,-,-
588,"Rio, I Love You 2016 Re-release","$31,982","$31,982",100%,-,-
589,Paths of the Soul,"$31,747","$31,747",100%,-,-
590,The Seventh Fire,"$30,977","$30,112",97.2%,$865,2.8%
591,Lamb,"$30,844","$14,547",47.2%,"$16,297",52.8%
592,Therapy for a Vampire 2016 Re-release,"$30,115","$30,115",100%,-,-
593,The Eyes of My Mother,"$29,539","$27,099",91.7%,"$2,440",8.3%
594,The Best Democracy Money Can Buy,"$29,500","$29,500",100%,-,-
595,The Dog Wedding,"$29,495","$29,495",100%,-,-
596,Time to Choose,"$29,233","$29,233",100%,-,-
597,"Rabin, the Last Day","$28,411","$28,411",100%,-,-
598,Take Me to the River,"$28,041","$28,041",100%,-,-
599,Kate Plays Christine,"$27,364","$25,564",93.4%,"$1,800",6.6%
600,Unlocking the Cage,"$27,284","$27,284",100%,-,-
601,A Monster with a Thousand Heads,"$26,865","$24,852",92.5%,"$2,013",7.5%
602,Front Cover,"$26,409","$26,409",100%,-,-
603,Gurukulam,"$25,651","$25,651",100%,-,-
604,Banjo,"$25,531","$25,531",100%,-,-
605,Kill Command,"$25,427",-,-,"$25,427",100%
606,Disturbing the Peace,"$25,287","$25,287",100%,-,-
607,Madaari,"$24,822",-,-,"$24,822",100%
608,Sudden Fear,"$24,476","$24,476",100%,-,-
609,Last Days in the Desert,"$24,352",-,-,"$24,352",100%
610,Level Up,"$24,083","$1,469",6.1%,"$22,614",93.9%
611,The Fiancé,"$23,986","$23,986",100%,-,-
612,Almost Holy,"$23,957","$21,142",88.2%,"$2,815",11.8%
613,Southbound,"$23,665","$23,665",100%,-,-
614,Good Kids,"$23,627",-,-,"$23,627",100%
615,The Hill Chris Climbed: The Gridiron Heroes Story,"$23,487","$23,487",100%,-,-
616,Goat,"$23,020","$23,020",100%,-,-
617,Mirza's Lady,"$22,886",-,-,"$22,886",100%
618,The Black Dove,"$22,517","$22,517",100%,-,-
619,Kamikaze 89,"$22,440","$22,440",100%,-,-
620,Be Here Now,"$22,424","$22,424",100%,-,-
621,Generation Startup,"$22,271","$22,271",100%,-,-
622,Reparation,"$22,267","$22,267",100%,-,-
623,Pet,"$22,003","$8,004",36.4%,"$13,999",63.6%
624,Blue Jay,"$21,626","$21,626",100%,-,-
625,Thank You for Your Service,"$21,497","$21,497",100%,-,-
626,Already Tomorrow in Hong Kong,"$21,206","$21,206",100%,-,-
627,Time Changer 2016 Re-release,"$20,797","$20,797",100%,-,-
628,Band of Robbers,"$20,555","$20,555",100%,-,-
629,This Last Lonely Place,"$20,507","$20,507",100%,-,-
630,Never,"$20,431","$20,431",100%,-,-
631,New World Order,"$20,205","$20,205",100%,-,-
632,Love Me True,"$20,100","$20,100",100%,-,-
633,"No Pay, Nudity","$20,017","$20,017",100%,-,-
634,The Romans,"$19,705","$19,705",100%,-,-
635,Kills On Wheels 2016 Re-release,"$19,680","$15,898",80.8%,"$3,782",19.2%
636,Art Bastard,"$19,600","$19,600",100%,-,-
637,Zoology,"$19,572",-,-,"$19,572",100%
638,Hannah: Buddhism's Untold Journey,"$19,526",$396,2%,"$19,130",98%
639,Hunter Gatherer,"$19,462","$19,462",100%,-,-
640,Revelation: Dawn of Global Government,"$19,107","$19,107",100%,-,-
641,Search Engines,"$19,033","$19,033",100%,-,-
642,Ktown Cowboys,"$18,863","$18,863",100%,-,-
643,Seoul Searching,"$18,654","$18,654",100%,-,-
644,The Channel,"$18,319","$18,319",100%,-,-
645,The Lion in Winter 2016 Re-release,"$18,177","$18,177",100%,-,-
646,Coming Through the Rye,"$18,137","$18,137",100%,-,-
647,Peter and the Farm,"$18,123","$18,123",100%,-,-
648,Harry Benson: Shoot First,"$18,092","$18,092",100%,-,-
649,A Bit of Bad Luck,"$18,089","$18,089",100%,-,-
650,Holy Hell,"$18,051","$18,051",100%,-,-
651,I Knew Her Well,"$18,010","$18,010",100%,-,-
652,Men Go to Battle,"$18,006","$18,006",100%,-,-
653,How He Fell in Love,"$17,575","$17,575",100%,-,-
654,Streit's: Matzo and the American Dream,"$17,506","$17,506",100%,-,-
655,Landfill Harmonic,"$17,205","$17,205",100%,-,-
656,Always Shine,"$17,102","$17,102",100%,-,-
657,On the Map,"$17,099","$17,099",100%,-,-
658,1920 London,"$16,077",-,-,"$16,077",100%
659,Five Nights in Maine,"$15,587","$15,587",100%,-,-
660,Be Somebody,"$15,395","$15,395",100%,-,-
661,The Adderall Diaries,"$15,364","$13,191",85.9%,"$2,173",14.1%
662,The President,"$15,338","$7,578",49.4%,"$7,760",50.6%
663,Starcrossed,"$15,263","$15,263",100%,-,-
664,The Wanderers 2016 Re-release,"$14,492","$14,492",100%,-,-
665,The Uncondemned,"$14,393","$14,393",100%,-,-
666,Brother Nature,"$14,218","$14,218",100%,-,-
667,Newtown,"$14,109","$14,109",100%,-,-
668,Shangri-La Suite,"$14,073","$14,073",100%,-,-
669,Yosemite,"$13,931","$13,931",100%,-,-
670,A Space Program,"$13,739","$13,739",100%,-,-
671,Tikkun,"$13,671","$13,671",100%,-,-
672,Spices of Liberty,"$13,463","$13,463",100%,-,-
673,Late Spring,"$13,254","$13,254",100%,-,-
674,City of Women,"$12,516","$12,516",100%,-,-
675,Elstree 1976,"$12,173","$12,173",100%,-,-
676,Destiny,"$12,156","$12,156",100%,-,-
677,Hot Water,"$12,101","$12,101",100%,-,-
678,When Two Worlds Collide,"$12,080","$12,080",100%,-,-
679,Lucha Mexico,"$11,722","$11,722",100%,-,-
680,The Preppie Connection,"$11,558","$11,558",100%,-,-
681,River of Grass,"$11,553","$11,553",100%,-,-
682,The Ruins of Lifta,"$11,548","$11,548",100%,-,-
683,Viktoria,"$11,314","$11,314",100%,-,-
684,Theo Who Lived,"$11,271","$11,271",100%,-,-
685,Daylight's End,"$11,257",-,-,"$11,257",100%
686,Hacker,"$11,239","$11,239",100%,-,-
687,What Happened Last Night,"$10,844","$10,844",100%,-,-
688,National Bird,"$10,656","$10,656",100%,-,-
689,SK1 2016 Re-release,"$10,330","$10,330",100%,-,-
690,Approaching the Unknown,"$10,232","$10,232",100%,-,-
691,Beta Test,"$10,104","$10,104",100%,-,-
692,Tere Bin Laden: Dead Or Alive,"$9,995",-,-,"$9,995",100%
693,Made in France,"$9,956","$9,956",100%,-,-
694,Chosen,"$9,536","$9,283",97.3%,$253,2.7%
695,The Lost Arcade,"$9,522","$9,522",100%,-,-
696,The Tree of Wooden Clogs,"$9,367",-,-,"$9,367",100%
697,Hooligan Sparrow,"$9,263","$9,263",100%,-,-
698,Frank & Lola,"$9,188","$9,188",100%,-,-
699,The Hollow Point,"$9,149",-,-,"$9,149",100%
700,The Ardennes 2016 Re-release,"$9,116","$5,638",61.8%,"$3,478",38.2%
701,Providence,"$8,840","$8,840",100%,-,-
702,Mojave,"$8,602","$8,253",95.9%,$349,4.1%
703,From the East,"$8,540","$8,540",100%,-,-
704,We Are Twisted Fucking Sister!,"$8,277","$8,277",100%,-,-
705,Silicon Cowboys,"$8,239","$8,239",100%,-,-
706,The Other Side,"$8,168","$8,074",98.8%,$94,1.2%
707,Golden Kingdom,"$8,077","$8,077",100%,-,-
708,Talent Has Hunger,"$7,998","$7,998",100%,-,-
709,Roseanne for President!,"$7,960","$7,960",100%,-,-
710,Portrait of a Garden,"$7,914","$7,914",100%,-,-
711,Old Stone,"$7,768","$7,476",96.2%,$292,3.8%
712,I Don't Belong Anywhere: The Cinema of Chantal Akerman,"$7,703","$7,703",100%,-,-
713,Psycho Raman,"$7,612",-,-,"$7,612",100%
714,Indian Point,"$7,251","$7,251",100%,-,-
715,It Had to Be You,"$7,162","$7,162",100%,-,-
716,"Brutti, sporchi e cattivi","$7,144","$7,144",100%,-,-
717,The Brainwashing of My Dad,"$7,028","$7,028",100%,-,-
718,Boom Bust Boom,"$6,896","$6,896",100%,-,-
719,Mad Tiger,"$6,823","$6,823",100%,-,-
720,Ghost Team,"$6,639","$6,639",100%,-,-
721,The Dying of the Light,"$6,627","$6,627",100%,-,-
722,The Charnel House,"$6,332","$6,332",100%,-,-
723,The Bad Kids,"$6,226","$6,226",100%,-,-
724,Slash,"$5,902","$5,902",100%,-,-
725,Bourek,"$5,844","$5,844",100%,-,-
726,Undrafted,"$5,777","$5,777",100%,-,-
727,Welcome to Happiness,"$5,083","$5,083",100%,-,-
728,Call Her Applebroog,"$4,842","$4,842",100%,-,-
729,Behind the White Glasses,"$4,770","$2,223",46.6%,"$2,547",53.4%
730,Marinoni: The Fire in the Frame,"$4,696","$4,696",100%,-,-
731,Blood on the Mountain,"$4,664","$4,664",100%,-,-
732,Miss Stevens,"$4,611","$4,611",100%,-,-
733,The Automatic Hate,"$4,603","$4,603",100%,-,-
734,Search Party 2016 Re-release,"$4,571","$4,571",100%,-,-
735,Synchronicity,"$4,505","$4,505",100%,-,-
736,On Meditation,"$4,322","$4,322",100%,-,-
737,Auto Shop of Horrors,"$4,300","$4,300",100%,-,-
738,Maximum Ride,"$4,218","$4,218",100%,-,-
739,Breaking a Monster,"$4,212","$4,212",100%,-,-
740,Among the Believers,"$4,189","$4,189",100%,-,-
741,The Hollow,"$3,755","$3,755",100%,-,-
742,The Last Film Festival,"$3,558","$3,558",100%,-,-
743,The Loving Story 2016 Re-release,"$3,518","$3,518",100%,-,-
744,Restored Me 2016 Re-release,"$3,428","$3,428",100%,-,-
745,Burning Bodhi,"$3,289","$3,289",100%,-,-
746,Best and Most Beautiful Things,"$3,016","$3,016",100%,-,-
747,The Ghosts of Johnson Woods,"$3,000","$3,000",100%,-,-
748,The Professor: Tai Chi's Journey West,"$2,852","$2,852",100%,-,-
749,White Lies 2016 Re-release,"$2,760","$2,760",100%,-,-
750,Mekong Hotel,"$2,502","$2,502",100%,-,-
751,Homeland (Iraq Year Zero),"$2,491","$2,491",100%,-,-
752,Ek Hazarachi Note,"$2,404","$2,404",100%,-,-
